iata,name,lat,lng
GKA,Goroka Airport,-6.081689834590001,145.391998291
MAG,Madang Airport,-5.20707988739,145.789001465
HGU,Mount Hagen Kagamuga Airport,-5.826789855957031,144.29600524902344
LAE,Nadzab Airport,-6.569803,146.725977
POM,Port Moresby Jacksons International Airport,-9.443380355834961,147.22000122070312
WWK,Wewak International Airport,-3.58383011818,143.669006348
UAK,Narsarsuaq Airport,61.1604995728,-45.4259986877
GOH,Godthaab / Nuuk Airport,64.19090271,-51.6781005859
SFJ,Kangerlussuaq Airport,67.0122218992,-50.7116031647
THU,Thule Air Base,76.5311965942,-68.7032012939
AEY,Akureyri Airport,65.66000366210938,-18.07270050048828
EGS,Egilsstaðir Airport,65.2833023071289,-14.401399612426758
HFN,Hornafjörður Airport,64.295601,-15.2272
HZK,Húsavík Airport,65.952301,-17.426001
IFJ,Ísafjörður Airport,66.05809783935547,-23.135299682617188
KEF,Keflavik International Airport,63.985000610352,-22.605600357056
PFJ,Patreksfjörður Airport,65.555801,-23.965
RKV,Reykjavik Airport,64.1299972534,-21.9405994415
SIJ,Siglufjörður Airport,66.133301,-18.9167
VEY,Vestmannaeyjar Airport,63.42430114746094,-20.278900146484375
YAM,Sault Ste Marie Airport,46.48500061035156,-84.5093994140625
YAY,St. Anthony Airport,51.3918991089,-56.083099365200006
YAZ,Tofino / Long Beach Airport,49.079833,-125.775583
YBB,Kugaaruk Airport,68.534401,-89.808098
YBC,Baie Comeau Airport,49.13249969482422,-68.20439910888672
YBG,CFB Bagotville,48.33060073852539,-70.99639892578125
YBK,Baker Lake Airport,64.29889678960001,-96.077796936
YBL,Campbell River Airport,49.950801849365234,-125.27100372314453
YBR,Brandon Municipal Airport,49.91,-99.951897
YCB,Cambridge Bay Airport,69.1081008911,-105.138000488
YCD,Nanaimo Airport,49.054970224899996,-123.869862556
YCG,Castlegar/West Kootenay Regional Airport,49.2963981628,-117.632003784
YCH,Miramichi Airport,47.007801,-65.449203
YCL,Charlo Airport,47.990799,-66.330299
YCO,Kugluktuk Airport,67.816704,-115.143997
YCT,Coronation Airport,52.0750007629,-111.444999695
YCW,Chilliwack Airport,49.1528015137,-121.939002991
YCY,Clyde River Airport,70.4860992432,-68.5167007446
YZS,Coral Harbour Airport,64.1932983398,-83.3593978882
YDA,Dawson City Airport,64.04309844970703,-139.1280059814453
YDB,Burwash Airport,61.37110137939453,-139.04100036621094
YDF,Deer Lake Airport,49.21080017089844,-57.39139938354492
YDL,Dease Lake Airport,58.4221992493,-130.031997681
YDN,Dauphin Barker Airport,51.100799560546875,-100.052001953125
YDQ,Dawson Creek Airport,55.7422981262207,-120.18299865722656
YEG,Edmonton International Airport,53.309700012200004,-113.580001831
YEK,Arviat Airport,61.0942001343,-94.07080078119999
YEN,Estevan Airport,49.2103004456,-102.966003418
YET,Edson Airport,53.578899383499994,-116.464996338
YEU,Eureka Airport,79.9946975708,-85.814201355
YEV,Inuvik Mike Zubko Airport,68.30419921880001,-133.483001709
YFB,Iqaluit Airport,63.756402,-68.555801
YFC,Fredericton Airport,45.868900299072266,-66.53720092773438
YFE,Forestville Airport,48.74610137939453,-69.09719848632812
YFO,Flin Flon Airport,54.6781005859375,-101.68199920654297
YFR,Fort Resolution Airport,61.1808013916,-113.690002441
YFS,Fort Simpson Airport,61.76020050048828,-121.23699951171875
YGK,Kingston Norman Rogers Airport,44.22529983520508,-76.5969009399414
YGL,La Grande Rivière Airport,53.625301361083984,-77.7042007446289
YGP,Gaspé (Michel-Pouliot) Airport,48.7752990723,-64.4785995483
YGQ,Geraldton Greenstone Regional Airport,49.77830123901367,-86.93939971923828
YGR,Îles-de-la-Madeleine Airport,47.42470169067383,-61.778099060058594
YHB,Hudson Bay Airport,52.8166999817,-102.310997009
YHD,Dryden Regional Airport,49.831699,-92.744202
YHI,Ulukhaktok Holman Airport,70.76280212402344,-117.80599975585938
YHK,Gjoa Haven Airport,68.635597229,-95.84970092770001
YHM,John C. Munro Hamilton International Airport,43.173599243199995,-79.93499755859999
YHU,Montréal / Saint-Hubert Airport,45.5175018311,-73.4169006348
YHY,Hay River / Merlyn Carter Airport,60.8396987915,-115.782997131
YHZ,Halifax / Stanfield International Airport,44.8807983398,-63.5085983276
YIB,Atikokan Municipal Airport,48.7738990784,-91.6386032104
YIO,Pond Inlet Airport,72.6832962036,-77.9666976929
YJN,St Jean Airport,45.29439926147461,-73.28109741210938
YJT,Stephenville Airport,48.5442008972168,-58.54999923706055
YKA,Kamloops Airport,50.7022018433,-120.444000244
